year,btc,ltc,xrp,other,eth,bch,eos
Jun '13,95.7,4.3,,,,,
Dec '13,88.8,5.5,3.05,2.65,,,
Jun '14,92.81,3.59,0.37,3.23,,,
Dec '14,87.57,2.11,6.88,3.44,,,
Jun '15,87.48,1.8,6.93,3.79,,,
Dec '15,91.63,2.48,2.39,2.44,1.06,,
Jun '16,81.4,2.1,1.95,3.81,10.74,,
Dec '16,86.87,1.34,1.67,5.44,4.68,,
Jun '17,45.74,1.67,13.16,16.27,23.16,,
Dec '17,56.79,1.66,3.03,16.83,13.66,7.41,0.62
Jun '18,38.45,2.06,7.44,25.27,17.41,5.49,3.89
Dec '18,53.95,1.5,11.1,20.23,9.03,2.25,1.93
Jun '19,56.44,2.6,6.88,18.14,10.46,2.89,2.59
Dec '19,65.15,1.45,4.68,17.59,7.98,1.91,1.24
Jun '20,61.28,1.04,3.13,22.81,9.23,1.62,0.89
Dec '20,65.72,1.08,5.27,13.83,12.55,1.01,0.54
Jun '21,43.84,0.78,2.95,31.6,19.63,0.82,0.38
Dec '21,46.07,0.59,2.13,31.43,18.88,0.65,0.25
